item_number,description,fee
3,"Professional attendance at consulting rooms (other than a service to which another item applies) by a general practitioner for an obvious problem characterised by the straightforward nature of the task that requires a short patient history and, if required, limited examination and management-each attendance",20.55
4,"Professional attendance by a general practitioner (other than attendance at consulting rooms or a residential aged care facility or a service to which another item in this Schedule applies) that requires a short patient history and, if necessary, limited examination and management—an attendance on one or more patients at one place on one occasion—each patient",
23,"Professional attendance by a general practitioner at consulting rooms (other than a service to which another item in this Schedule applies), lasting at least 6 minutes and less than 20 minutes and including any of the following that are clinically relevant:(a) taking a patient history;(b) performing a clinical examination;(c) arranging any necessary investigation;(d) implementing a management plan;(e) providing appropriate preventive health care;for one or more health-related issues, with appropriate documentation",45.05
24,"Professional attendance by a general practitioner (other than attendance at consulting rooms or a residential aged care facility or a service to which another item in this Schedule applies), lasting at least 6 minutes and less than 20 minutes and including any of the following that are clinically relevant:(a) taking a patient history;(b) performing a clinical examination;(c) arranging any necessary investigation;(d) implementing a management plan;(e) providing appropriate preventive health care;for one or more health-related issues, with appropriate documentation—an attendance on one or more patients at one place on one occasion—each patient",
36,"Professional attendance by a general practitioner at consulting rooms (other than a service to which another item in the table applies), lasting at least 20 minutes and including any of the following that are clinically relevant: (a) taking a detailed patient history; (b) performing a clinical examination; (c) arranging any necessary investigation; (d) implementing a management plan; (e) providing appropriate preventive health care; for one or more health-related issues, with appropriate documentation-each attendance",87.10
37,"Professional attendance by a general practitioner (other than attendance at consulting rooms or a residential aged care facility or a service to which another item in this Schedule applies), lasting at least 20 minutes and including any of the following that are clinically relevant: (a) taking a detailed patient history; (b) performing a clinical examination; (c) arranging any necessary investigation; (d) implementing a management plan; (e) providing appropriate preventive health care; for one or more health‑related issues, with appropriate documentation—an attendance on one or more patients at one place on one occasion—each patient",
44,"Professional attendance by a general practitioner at consulting rooms (other than a service to which another item in the table applies), lasting at least 40 minutes and including any of the following that are clinically relevant: (a) taking an extensive patient history; (b) performing a clinical examination; (c) arranging any necessary investigation; (d) implementing a management plan; (e) providing appropriate preventive health care; for one or more health-related issues, with appropriate documentation-each attendance",128.35
47,"Professional attendance by a general practitioner (other than attendance at consulting rooms or a residential aged care facility or a service to which another item in this Schedule applies), lasting at least 40 minutes and including any of the following that are clinically relevant: (a) taking an extensive patient history; (b) performing a clinical examination; (c) arranging any necessary investigation; (d) implementing a management plan; (e) providing appropriate preventive health care; for one or more health‑related issues, with appropriate documentation—an attendance on one or more patients at one place on one occasion—each patient",
52,"Professional attendance at consulting rooms of not more than 5 minutes in duration (other than a service to which any other item applies)-each attendance, by: (a) a medical practitioner (who is not a general practitioner); or (b) a Group A1 disqualified general practitioner, as defined in the dictionary of the General Medical Services Table (GMST).",11.00
53,"Professional attendance at consulting rooms of more than 5 minutes in duration but not more than 25 minutes (other than a service to which any other item applies)-each attendance, by: (a) a medical practitioner (who is not a general practitioner); or (b) a Group A1 disqualified general practitioner, as defined in the dictionary of the General Medical Services Table (GMST).",21.00
54,"Professional attendance at consulting rooms of more than 25 minutes in duration but not more than 45 minutes (other than a service to which any other item applies)-each attendance, by: (a) a medical practitioner (who is not a general practitioner); or (b) a Group A1 disqualified general practitioner, as defined in the dictionary of the General Medical Services Table (GMST).",38.00
57,"Professional attendance at consulting rooms lasting more than 45 minutes, but not more than 60 minutes (other than a service to which any other item applies) by:(a) a medical practitioner who is not a general practitioner; or(b) a Group A1 disqualified general practitioner",61.00
58,"Professional attendance (other than an attendance at consulting rooms or a residential aged care facility or a service to which any other item in the table applies), not more than 5 minutes in duration-an attendance on one or more patients at one place on one occasion-each patient, by: (a) a medical practitioner (who is not a general practitioner); or (b) a Group A1 disqualified general practitioner, as defined in the dictionary of the General Medical Services Table (GMST).",
59,"Professional attendance (other than an attendance at consulting rooms or a residential aged care facility or a service to which any other item in the table applies) of more than 5 minutes in duration but not more than 25 minutes-an attendance on one or more patients at one place on one occasion-each patient, by: (a) a medical practitioner (who is not a general practitioner); or (b) a Group A1 disqualified general practitioner, as defined in the dictionary of the General Medical Services Table (GMST).",
60,"Professional attendance (other than an attendance at consulting rooms or a residential aged care facility or a service to which any other item in the table applies) of more than 25 minutes in duration but not more than 45 minutes-an attendance on one or more patients at one place on one occasion-each patient, by: (a) a medical practitioner (who is not a general practitioner); or (b) a Group A1 disqualified general practitioner, as defined in the dictionary of the General Medical Services Table (GMST).",
65,"Professional attendance (other than an attendance at consulting rooms or a residential aged care facility or a service to which any other item in this Schedule applies) lasting more than 45 minutes but not more than 60 minutes —an attendance on one or more patients at one place on one occasion—each patient, by:(a) a medical practitioner who is not a general practitioner; or(b) a Group A1 disqualified general practitioner",
104,"Professional attendance at consulting rooms or hospital by a specialist in the practice of the specialist’s specialty after referral of the patient to the specialist—initial attendance in a single course of treatment, other than a service to which item 106, 109, 125 or 16401 applies",103.95
105,"Professional attendance by a specialist in the practice of the specialist’s specialty following referral of the patient to the specialist—an attendance after the initial attendance in a single course of treatment, if that attendance is at consulting rooms or hospital, other than a service to which item 126 or 16404 applies",52.25
